"Panth Extensions","Panth Extensions"
"Core Web Vitals","Core Web Vitals"
"General Settings","General Settings"
"Enable Module","Enable Module"
"Debug Mode","Debug Mode"
"Send Metrics to Analytics","Send Metrics to Analytics"
"LCP (Largest Contentful Paint) Monitoring","LCP (Largest Contentful Paint) Monitoring"
"Monitor LCP","Monitor LCP"
"Target LCP (milliseconds)","Target LCP (milliseconds)"
"FID / INP (Interaction Responsiveness) Monitoring","FID / INP (Interaction Responsiveness) Monitoring"
"Monitor FID and INP","Monitor FID and INP"
"Target FID (milliseconds)","Target FID (milliseconds)"
"Target INP (milliseconds)","Target INP (milliseconds)"
"CLS (Cumulative Layout Shift) Monitoring","CLS (Cumulative Layout Shift) Monitoring"
"Monitor CLS","Monitor CLS"
"Target CLS Score","Target CLS Score"
"Resource Hints","Resource Hints"
"DNS Prefetch Domains","DNS Prefetch Domains"
"Preconnect Domains","Preconnect Domains"
"Prefetch URLs","Prefetch URLs"
"Auto (Default browser behavior)","Auto (Default browser behavior)"
"Block (Hide text until font loads)","Block (Hide text until font loads)"
"Swap (Show fallback, swap when ready)","Swap (Show fallback, swap when ready)"
"Fallback (Brief block, then fallback)","Fallback (Brief block, then fallback)"
"Optional (Use fallback if font not cached)","Optional (Use fallback if font not cached)"
"Configuration","Configuration"
